State,utc_offset,tz
MA,−03:00,Brazil/East
PI,−03:00,Brazil/East
CE,−03:00,Brazil/East
AP,−03:00,Brazil/East
RN,−03:00,Brazil/East
PB,−03:00,Brazil/East
GO,−03:00,Brazil/East
DF,−03:00,Brazil/East
MG,−03:00,Brazil/East
ES,−03:00,Brazil/East
RJ,−03:00,Brazil/East
SP,−03:00,Brazil/East
PR,−03:00,Brazil/East
SC,−03:00,Brazil/East
RS,−03:00,Brazil/East
PA,−03:00,Brazil/East
PE,−03:00,Brazil/East
TO,−03:00,Brazil/East
AL,−03:00,Brazil/East
SE,−03:00,Brazil/East
BA,−03:00,Brazil/East
MT, −04:00,Brazil/West
RO, −04:00,Brazil/West
RR, −04:00,Brazil/West
MS, −04:00,Brazil/West
AM, −04:00,Brazil/West
AC,  −05:00,Brazil/Acre
